Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
11/20,0/20,11050,1105000,122.26818132400513,4678.863839149475,158.4733781069517,470.11545273661613,1.0,1.0,0.04,-892.01
11/20,1/20,11100,1110000,119.52649545669556,4658.430824995041,156.0878317952156,541.5551587790251,0.95,0.95,0.02,-891.26
11/20,2/20,11150,1115000,120.6521475315094,4630.2237067222595,157.44987136125565,506.2472310960293,0.99,0.99,0.09,-891.12
11/20,3/20,11200,1120000,123.14918112754822,4651.2428150177,157.81310673058033,528.6869612038136,0.94,0.94,0.24,-890.3
11/20,4/20,11250,1125000,124.98378038406372,4618.052796840668,156.83194155991077,479.1863226592541,0.88,0.88,0.18,-888.5
11/20,5/20,11300,1130000,125.13116478919983,4615.423209428787,158.71660229563713,481.78507103025913,0.97,0.97,0.06,-810.78
11/20,6/20,11350,1135000,121.61386442184448,4598.326061248779,160.2838001102209,498.51865780353546,1.0,1.0,0.04,-904.61
11/20,7/20,11400,1140000,124.48173379898071,4580.764715909958,159.32582430541515,540.9595753997564,0.99,0.99,0.03,-889.11
11/20,8/20,11450,1145000,123.11047959327698,4570.41633605957,158.6827464401722,491.9114100933075,0.9,0.9,0.11,-896.12
11/20,9/20,11500,1150000,124.1160888671875,4538.18443775177,157.29622073471546,515.8119103610516,0.96,0.96,0.04,-902.89
11/20,10/20,11550,1155000,123.39227485656738,4524.165508031845,157.72653129696846,467.0459523051977,1.0,1.0,0.12,-903.77
11/20,11/20,11600,1160000,126.97707962989807,4517.216806173325,157.38956205546856,503.26073202490807,0.99,0.99,0.0,-904.25
11/20,12/20,11650,1165000,125.9075973033905,4496.428503513336,157.68653769791126,464.1376442760229,1.0,1.0,0.15,-895.96
11/20,13/20,11700,1170000,124.10884594917297,4476.203146696091,159.94583025574684,500.4982101768255,0.96,0.96,0.07,-913.57
11/20,14/20,11750,1175000,126.03099322319031,4433.808380842209,157.51666958630085,451.7718704789877,0.99,0.99,0.0,-901.87
11/20,15/20,11800,1180000,126.635582447052,4407.045316696167,159.0151677429676,486.0010906904936,0.98,0.98,0.09,-913.28
11/20,16/20,11850,1185000,127.29500651359558,4422.120958566666,156.71612486243248,465.8822287172079,0.96,0.96,0.06,-883.35
