Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
1/20,8/20,1450,145000,37.26898717880249,3328.3875679969788,125.57027194648981,646.4224505573511,0.73,0.73,4.07,-268.94
1/20,9/20,1500,150000,36.89547848701477,3368.515276670456,126.46253467351198,711.9723785370588,0.7,0.7,3.57,-299.31
1/20,10/20,1550,155000,37.85824465751648,3368.284444093704,128.4263397678733,692.7629922553897,0.8,0.8,3.34,-207.42
1/20,11/20,1600,160000,37.802937746047974,3372.4078936576843,127.08376554399729,805.9635900333524,0.7,0.7,3.38,-291.82
1/20,12/20,1650,165000,37.622220516204834,3358.413369655609,125.4150050804019,833.4687639847398,0.62,0.62,5.63,-379.62
1/20,13/20,1700,170000,37.16778874397278,3432.3005439043045,124.00679905712605,811.3743637949228,0.72,0.72,4.48,-294.74
1/20,14/20,1750,175000,37.61675786972046,3449.65654027462,123.86383154988289,811.5162786990404,0.86,0.86,3.44,-149.55
1/20,15/20,1800,180000,37.355961322784424,3466.5357010364532,124.48396912962198,785.80145316571,0.71,0.71,4.05,-304.78
1/20,16/20,1850,185000,37.62044429779053,3494.4126994609833,123.55790208280087,829.7771268114448,0.81,0.81,3.28,-191.06
1/20,17/20,1900,190000,37.18546462059021,3497.373118162155,125.29349856078625,910.494152136147,0.73,0.73,3.15,-265.21
1/20,18/20,1950,195000,37.17827916145325,3511.876878976822,125.6192319393158,977.5989590808749,0.76,0.76,3.94,-243.09
1/20,19/20,2000,200000,37.871885538101196,3469.0323293209076,123.16390126943588,913.923744276166,0.73,0.73,3.73,-263.06
2/20,0/20,2050,205000,39.87494397163391,3535.46999168396,124.00845728814602,1043.6006980240345,0.74,0.74,3.77,-290.37
2/20,1/20,2100,210000,38.32114386558533,3514.0221648216248,122.79249501228333,1033.0788526684046,0.7,0.7,4.13,-294.52
2/20,2/20,2150,215000,39.47580122947693,3526.2081282138824,124.71567410975695,912.1700099930167,0.71,0.71,4.25,-304.54
2/20,3/20,2200,220000,39.04340648651123,3539.4707407951355,123.40074311941862,994.5288857743144,0.63,0.63,4.8,-378.54
2/20,4/20,2250,225000,38.85993838310242,3485.3772999048233,124.6629409044981,991.8258292004466,0.85,0.85,3.18,-174.0
2/20,5/20,2300,230000,37.430952310562134,3480.2507014274597,125.54632283747196,1057.7363421618938,0.75,0.75,3.85,-256.39
2/20,6/20,2350,235000,37.838005781173706,3488.7923119068146,126.07922026515007,1120.9645572304726,0.69,0.69,3.87,-318.55
2/20,7/20,2400,240000,37.747254610061646,3461.3127399683,124.04119938611984,982.4946862608194,0.75,0.75,4.7,-267.4
2/20,8/20,2450,245000,38.1905300617218,3426.2399508953094,123.00037552416325,1022.2434699013829,0.79,0.79,4.11,-210.56
2/20,9/20,2500,250000,37.569300174713135,3461.8234592676163,122.37771961092949,1011.762146294117,0.7,0.7,3.99,-330.25
2/20,10/20,2550,255000,38.228211879730225,3427.460652589798,120.43838500231504,1001.4836188927293,0.77,0.77,4.11,-246.17
2/20,11/20,2600,260000,38.83272099494934,3466.441798686981,122.08245813846588,982.5914173424244,0.81,0.81,3.01,-193.4
2/20,12/20,2650,265000,38.262664794921875,3476.260022997856,120.77069123834372,989.360051728785,0.76,0.76,3.54,-249.92
2/20,13/20,2700,270000,38.11710000038147,3479.6735689640045,120.88725536316633,1148.076072819531,0.79,0.79,4.04,-216.07
2/20,14/20,2750,275000,38.04229974746704,3471.96904528141,119.53853741288185,991.8261594995856,0.8,0.8,3.39,-201.94
2/20,15/20,2800,280000,39.16288447380066,3529.8008489608765,120.28006653487682,1055.9948863759637,0.86,0.86,3.47,-146.03
2/20,16/20,2850,285000,39.27332067489624,3472.5193898677826,122.45660915970802,1026.769708685577,0.79,0.79,4.37,-221.62
