Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
2/20,5/20,2300,230000,93.55322265625,7054.232988357544,150.77508613467216,561.9072906970978,0.21,0.21,3.06,-448.6
2/20,6/20,2350,235000,88.6641743183136,7056.984418392181,150.87470163404942,599.2089787423611,0.11,0.11,3.48,-793.85
2/20,7/20,2400,240000,89.97869324684143,7107.528890609741,148.11404710263014,561.4025702476501,0.28,0.28,2.92,-739.94
2/20,8/20,2450,245000,88.7471866607666,7208.4000878334045,147.8031816408038,580.4850194752216,0.09,0.09,3.71,-859.0
2/20,9/20,2500,250000,88.3088972568512,7223.64887714386,147.1768672838807,583.8867145776749,0.32,0.32,5.4,-722.06
2/20,10/20,2550,255000,91.540372133255,7272.069575309753,145.75712317973375,564.3218311518431,0.19,0.19,3.0,-427.91
2/20,11/20,2600,260000,88.70712184906006,7344.363029003143,144.72836320102215,549.8205552995205,0.15,0.15,3.48,-710.71
2/20,12/20,2650,265000,85.18958497047424,7448.919748783112,147.13756762444973,572.4785498231649,0.08,0.08,6.61,-859.04
2/20,13/20,2700,270000,87.81146550178528,7506.350942611694,144.24604358524084,580.2754148095846,0.05,0.05,4.15,-615.92
2/20,14/20,2750,275000,85.93850016593933,7590.139507293701,147.5464220866561,608.141661837697,0.07,0.07,3.55,-814.4
2/20,15/20,2800,280000,84.43870449066162,7662.741587638855,151.94515896588564,616.3337267935276,0.09,0.09,3.77,-828.33
2/20,16/20,2850,285000,84.41703915596008,7622.562771320343,152.31493309140205,579.2379497587681,0.03,0.03,3.35,-874.24
2/20,17/20,2900,290000,84.67542791366577,7717.734344482422,151.1803620159626,623.6180865466595,0.06,0.06,5.83,-877.57
2/20,18/20,2950,295000,85.25628876686096,7681.573317527771,150.6900048032403,589.2977053374052,0.05,0.05,4.91,-848.3
2/20,19/20,3000,300000,85.41160249710083,7635.229210853577,153.64736527949572,581.6587788313627,0.09,0.09,4.9,-871.62
3/20,0/20,3050,305000,84.74623012542725,7642.082404136658,153.52256739884615,588.1961106359959,0.04,0.04,4.14,-882.73
3/20,1/20,3100,310000,85.46838855743408,7523.3091173172,152.92911787331104,551.3445556759834,0.05,0.05,4.69,-878.31
3/20,2/20,3150,315000,82.68372797966003,7446.515222072601,152.39593786746264,545.556133210659,0.0,0.0,1.97,-896.91
3/20,3/20,3200,320000,85.72092318534851,7410.048539161682,153.9586315602064,531.3414351195097,0.03,0.03,5.36,-795.47
3/20,4/20,3250,325000,84.51821851730347,7309.763645648956,148.6060493811965,504.1737311631441,0.0,0.0,2.33,-835.87
3/20,5/20,3300,330000,84.1126811504364,7229.453696727753,147.72283938527107,479.0148147344589,0.06,0.06,1.42,-878.15
3/20,6/20,3350,335000,85.67029547691345,7239.764813899994,147.11420855671167,505.20581398904324,0.04,0.04,1.91,-859.94
3/20,7/20,3400,340000,84.61932802200317,7244.539941310883,147.02427779138088,473.49415773153305,0.06,0.06,1.31,-877.47
3/20,8/20,3450,345000,87.1334490776062,7211.8073897361755,148.85851456969976,492.253451615572,0.08,0.08,1.49,-832.36
3/20,9/20,3500,350000,88.51781487464905,7167.5488386154175,146.10860368609428,460.84105202555656,0.06,0.06,2.03,-845.77
3/20,10/20,3550,355000,86.80633974075317,7142.3054575920105,148.15182507783175,465.3396186232567,0.07,0.07,2.14,-849.09
3/20,11/20,3600,360000,89.6661171913147,7224.113960266113,145.09929371625185,469.68198768794537,0.07,0.07,2.92,-774.65
3/20,12/20,3650,365000,88.18507742881775,7204.235050678253,144.54605298489332,450.8789651542902,0.05,0.05,2.66,-807.89
3/20,13/20,3700,370000,88.7479555606842,7279.494204044342,143.44999577105045,465.94560535252094,0.15,0.15,2.51,-794.89
3/20,14/20,3750,375000,90.39978384971619,7381.611753940582,142.99133952707052,470.65416033566,0.06,0.06,1.44,-742.62
3/20,15/20,3800,380000,91.65875720977783,7473.399022579193,144.0095620751381,464.7995476871729,0.14,0.14,2.24,-740.64
3/20,16/20,3850,385000,89.47624588012695,7478.367568016052,144.65835182368755,457.8124633580446,0.32,0.32,2.22,-717.79
3/20,17/20,3900,390000,88.33089756965637,7528.623595237732,140.20792474597692,461.0843559652567,0.28,0.28,2.57,-752.23
