Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
1/20,19/20,2000,200000,89.24177932739258,7152.421514034271,141.64531271904707,686.2409451007843,0.0,0.0,0.1,-291.28
2/20,0/20,2050,205000,84.09605073928833,7064.036243438721,141.61715089529753,713.3080509752035,0.01,0.01,4.55,-904.43
2/20,1/20,2100,210000,89.06098508834839,6985.799746513367,139.81136660277843,710.7597667723894,0.0,0.0,0.0,-108.37
2/20,2/20,2150,215000,87.64623880386353,6907.637563705444,140.42500948160887,689.2829969674349,0.01,0.01,0.38,-356.08
2/20,3/20,2200,220000,89.36200881004333,6888.357454299927,142.60224076360464,659.8742211610079,0.0,0.0,0.07,-178.83
2/20,4/20,2250,225000,87.06614542007446,6776.647017002106,144.12572852522135,669.5223260372877,0.02,0.02,0.76,-558.81
2/20,5/20,2300,230000,86.67221140861511,6692.207990646362,145.39482014626265,622.9090050011873,0.19,0.19,4.82,-789.75
2/20,6/20,2350,235000,86.21694564819336,6605.138103485107,149.40948037058115,633.1337534189224,0.08,0.08,5.76,-651.25
2/20,7/20,2400,240000,84.23223662376404,6533.452777862549,151.86599111557007,659.4248249679804,0.03,0.03,2.03,-905.27
2/20,8/20,2450,245000,83.15561270713806,6479.1149916648865,153.0141795128584,647.2553804814816,0.02,0.02,2.17,-940.23
2/20,9/20,2500,250000,85.31947326660156,6459.547784328461,150.85300865024328,636.1588461399078,0.06,0.06,0.92,-628.36
2/20,10/20,2550,255000,84.4006757736206,6395.419706821442,154.22867196053267,627.356991097331,0.05,0.05,1.79,-763.95
2/20,11/20,2600,260000,84.13669872283936,6435.612593173981,151.79397329688072,637.3045107573271,0.11,0.11,1.67,-815.31
2/20,12/20,2650,265000,89.51190185546875,6403.00421333313,156.3097026348114,637.9732117503881,0.14,0.14,0.43,-630.91
2/20,13/20,2700,270000,87.33952116966248,6322.554187297821,156.9235524535179,625.662680581212,0.0,0.0,1.49,-958.32
2/20,14/20,2750,275000,87.77063965797424,6269.828439712524,154.33423522114754,637.1513831168413,0.04,0.04,2.1,-938.98
2/20,15/20,2800,280000,89.0813364982605,6193.8092494010925,153.8651538491249,636.7849538773298,0.02,0.02,1.97,-929.88
2/20,16/20,2850,285000,86.83877205848694,6170.96861410141,155.874747261405,608.1212231218815,0.01,0.01,1.19,-880.12
2/20,17/20,2900,290000,85.72257995605469,6152.086430549622,155.30634899437428,613.0245498865843,0.1,0.1,0.94,-863.13
2/20,18/20,2950,295000,86.09623122215271,5989.543511867523,153.59387954324484,592.0678671300411,0.12,0.12,1.99,-818.1
2/20,19/20,3000,300000,84.52361178398132,5938.483956813812,156.5413999557495,593.3770652711391,0.13,0.13,1.46,-870.37
3/20,0/20,3050,305000,84.84073185920715,5937.930935382843,157.88686972111464,609.1368035525084,0.18,0.18,0.83,-841.59
3/20,1/20,3100,310000,85.67593216896057,5959.892616271973,157.87506814301014,588.9866938591003,0.19,0.19,1.78,-784.46
3/20,2/20,3150,315000,85.7014832496643,5953.946825504303,154.75990130752325,622.7933982759714,0.2,0.2,0.96,-809.69
3/20,3/20,3200,320000,86.95132684707642,5977.703702926636,155.1907001659274,599.1997698992491,0.38,0.38,1.75,-669.27
3/20,4/20,3250,325000,90.76498031616211,5918.343523979187,154.31170040369034,606.2662420421839,0.15,0.15,2.33,-528.56
3/20,5/20,3300,330000,85.4758849143982,5944.944414615631,154.03956755250692,623.9880677014589,0.22,0.22,2.03,-800.68
3/20,6/20,3350,335000,83.87324404716492,5984.054397106171,155.19257134199142,609.5259186178446,0.09,0.09,1.81,-954.17
3/20,7/20,3400,340000,86.55008697509766,6032.512269496918,158.12670305371284,583.7798902392387,0.36,0.36,0.83,-722.18
3/20,8/20,3450,345000,86.36592769622803,6031.681690692902,158.60758490860462,638.4311212301254,0.3,0.3,3.92,-772.83
3/20,9/20,3500,350000,84.5688099861145,6022.84579706192,159.33731716871262,608.2784117311239,0.21,0.21,1.46,-861.67
3/20,10/20,3550,355000,86.46519637107849,6040.839330673218,160.31687451899052,686.6309443712234,0.33,0.33,0.7,-735.26
3/20,11/20,3600,360000,86.9049916267395,6029.003227710724,159.73294635862112,616.4092164188623,0.47,0.47,1.76,-732.53
3/20,12/20,3650,365000,86.77671813964844,6023.094487667084,161.00861474871635,637.363970682025,0.47,0.47,0.64,-688.11
3/20,13/20,3700,370000,86.82389092445374,6025.339155673981,163.17239432036877,659.9173185378313,0.27,0.27,0.39,-738.15
3/20,14/20,3750,375000,87.0441517829895,6036.195523738861,159.6665802001953,641.6775567084551,0.44,0.44,0.46,-683.98
3/20,15/20,3800,380000,88.00952887535095,6028.3006772994995,164.83848571777344,625.2079860270023,0.43,0.43,1.35,-721.03
3/20,16/20,3850,385000,94.0416374206543,6006.374134540558,161.39667019993067,643.541113704443,0.31,0.31,0.9,-552.64
3/20,17/20,3900,390000,87.64614272117615,6007.414701938629,164.6963996887207,657.6687754243612,0.46,0.46,0.84,-781.58
3/20,18/20,3950,395000,90.76147198677063,5975.00896024704,163.963638946414,686.7900292575359,0.59,0.59,1.06,-536.49
3/20,19/20,4000,400000,92.02037262916565,5945.371304512024,167.09106463193893,646.1040449887514,0.13,0.13,1.4,-483.67
4/20,0/20,4050,405000,88.72121095657349,5947.657500743866,165.51756501197815,655.1112087219954,0.69,0.69,0.71,-551.52
4/20,1/20,4100,410000,88.44127607345581,5958.174279212952,167.05792347341776,637.5310372412205,0.71,0.71,0.78,-686.55
4/20,2/20,4150,415000,92.4470226764679,6004.556355476379,168.0588621944189,643.1853782832623,0.53,0.53,0.7,-654.74
4/20,3/20,4200,420000,90.15993523597717,6042.20424079895,166.92450684309006,668.2836970090866,0.65,0.65,0.5,-561.34
4/20,4/20,4250,425000,91.18803811073303,6082.489350318909,164.8026101142168,660.6673429906368,0.7,0.7,1.41,-471.34
4/20,5/20,4300,430000,90.9254457950592,6087.159719944,166.75679616630077,650.7391774654388,0.74,0.74,1.14,-383.89
4/20,6/20,4350,435000,89.6985833644867,6096.615427017212,169.4697428792715,710.3651470094919,0.38,0.38,1.23,-541.9
