Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success/mpc,Success,CollisionsAvg,ExRewardAvg
0/20,0/20,50,5000,66.11535620689392,,,,0.0,0.0,0.0,-632.8
0/20,1/20,100,10000,70.52629685401917,9.958174705505371,0.16401997674256563,3.4422165751457214,0.0,0.0,0.0,-583.3
0/20,2/20,150,15000,89.11227822303772,954.8453123867512,13.038632181705907,33.604906195774674,0.0,0.0,0.0,-462.34
0/20,3/20,200,20000,89.41159081459045,1668.8150718212128,72.48348978348076,41.73673461563885,0.0,0.0,0.0,-100.0
0/20,4/20,250,25000,90.10608410835266,2141.988519191742,108.84741761535406,49.375041948631406,0.0,0.0,0.0,-130.87
0/20,5/20,300,30000,89.57924556732178,2529.8811291456223,115.85898657143116,50.44639683701098,0.0,0.0,0.0,-100.0
0/20,6/20,350,35000,90.27648210525513,2839.0453593730927,115.4151791036129,47.11880006454885,0.0,0.0,0.0,-606.16
0/20,7/20,400,40000,94.37168502807617,3223.8054022789,114.49296998977661,48.02345247194171,0.0,0.0,0.0,-520.03
0/20,8/20,450,45000,92.59332919120789,3615.1871881484985,117.33352708816528,54.58122322149575,0.0,0.0,0.0,-580.51
0/20,9/20,500,50000,90.94327044487,3940.8854570388794,119.66486759483814,57.090463258326054,0.0,0.0,0.0,-530.83
0/20,10/20,550,55000,92.32721781730652,4276.799612045288,120.86431039124727,62.973459240049124,0.0,0.0,0.0,-243.64
0/20,11/20,600,60000,86.78347420692444,4551.46492099762,125.45097318291664,66.75553697533906,0.0,0.0,2.68,-640.81
0/20,12/20,650,65000,87.90694451332092,4788.741867542267,126.48091039061546,70.39425645023584,0.0,0.0,2.37,-450.49
0/20,13/20,700,70000,80.88759350776672,4976.501944303513,136.31873924285173,77.2313549593091,0.0,0.0,6.39,-928.03
0/20,14/20,750,75000,84.28890347480774,5101.345720529556,139.44587174803019,100.63144487887621,0.01,0.01,20.98,-894.64
0/20,15/20,800,80000,85.27866864204407,5186.101043462753,135.65646759420633,116.98815563693643,0.0,0.0,19.7,-821.11
